,LO1,LA1,EL1,LO1,LA1,EL1,VISIBLE
369,88.5,26.7,117.1208878,88.1,27.6,6383.129883,5356.205914
370,87,26.5,78.623703,87.1,27.9,7346.435547,5356.127102
371,87.9,26.8,325.3027649,87.1,27.9,7346.435547,5355.23329
372,83.5,27.2,90.94785309,83.5,28.7,7631.313477,5354.568419
373,87.7,27.1,1098.14502,87.1,27.9,7346.435547,5351.409615
374,87.3,27.2,813.3201904,86.9,28,6908.385742,5351.316152
375,83.4,27.2,87.59449005,83.5,28.7,7631.313477,5350.342481
376,83.6,27.2,93,83.5,28.7,7631.313477,5344.936971
377,86.8,26.8,158.565567,86.9,28,6908.385742,5343.384
378,87.7,27.3,830.1617432,88.1,27.6,6383.129883,5343.162034
379,88.4,27.1,729.1127319,88.1,27.6,6383.129883,5342.219833
380,85.8,27.5,632.3925781,85.8,28.2,6449.25293,5340.909244
381,88.4,26.8,160.4662476,88.1,27.7,6357.160645,5340.84931
382,86.2,27.3,1041.034668,87.1,27.9,7346.435547,5337.71168
383,82.6,28,1209.157715,83.5,28.7,7631.313477,5336.670535
384,86.2,27,226.2755585,86.9,28,6908.385742,5336.260584
385,86.5,26.6,92.41530609,87.1,27.9,7346.435547,5335.93005
386,86.9,26.5,75.88464355,87.1,27.9,7346.435547,5335.815586
387,84.6,27.6,206.5674591,83.5,28.7,7631.313477,5335.487014
388,86.8,27.3,1593.700439,87.1,27.9,7346.435547,5334.342864
